REF,Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,Continent_company,Sub-region_company,Continent_origin,Sub-region_origin,Manufacturer,Company
1772.0,U.S.A.,2016.0,Peru,"Tumbes, ""Zarumilla""",90.0,"2- B,S*","sticky, bitter, molasses, tart",2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolate Alchemist-Philly,Chocolate Alchemist-Philly
1772.0,U.S.A.,2016.0,Blend,"Philly Blend, 5 plantations",80.0,"2- B,S*","sticky, coconut, sour, bitter",2.5,Americas,Northern America,Blend,Blend,Chocolate Alchemist-Philly,Chocolate Alchemist-Philly
1764.0,U.S.A.,2016.0,Ecuador,Ecuador,70.0,"2- B,S","molasses, tart, floral",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolate Con Amor,Chocolate Con Amor
1764.0,U.S.A.,2016.0,Dominican Republic,Dominican Republic,60.0,"2- B,S","gritty, sweet, molasses",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolate Con Amor,Chocolate Con Amor
1764.0,U.S.A.,2016.0,Dominican Republic,Dominican Republic,75.0,"2- B,S","sandy, rich, roasty, earthy",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolate Con Amor,Chocolate Con Amor
1764.0,U.S.A.,2016.0,Venezuela,Ocumare,80.0,"2- B,S","gritty, nutty, caramel",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolate Con Amor,Chocolate Con Amor
1760.0,U.S.A.,2016.0,Uganda,Uganda,70.0,"2- B,S","roasty, cocoa, molasses",2.75,Americas,Northern America,Africa,Sub-Saharan Africa,Chocolate Con Amor,Chocolate Con Amor
1768.0,U.S.A.,2016.0,Nicaragua,Nicaragua,80.0,"2- B,S","nutty, roasty, bitter",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolate Con Amor,Chocolate Con Amor
1760.0,U.S.A.,2016.0,Bolivia,Wild Bolivian,70.0,"2- B,S","gritty, molasses, earthy",2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolate Con Amor,Chocolate Con Amor
1259.0,U.S.A.,2014.0,Peru,Peru,74.0,"3- B,S*,C","unrefined, odd, vegetal",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolate Conspiracy,Chocolate Conspiracy
1530.0,Netherlands,2015.0,Peru,"Peru, Awagum bar",80.0,"3- B,S,C","nuts, coffee, peanut butter",3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,Chocolate Makers,Chocolate Makers
1530.0,Netherlands,2015.0,Congo,"Congo, Gorilla bar",68.0,"3- B,S,C","bold, rich cocoa, coffee",3.5,Europe,Western Europe,Africa,Sub-Saharan Africa,Chocolate Makers,Chocolate Makers
1530.0,Netherlands,2015.0,Dominican Republic,Tres Hombres,75.0,"3- B,S,C","earthy, coffee, mild, tang",3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,Chocolate Makers,Chocolate Makers
919.0,U.K.,2012.0,Madagascar,Madagascar,72.0,"3- B,S,C","tart, bright fruit, sour coffee",3.25,Europe,Northern Europe,Africa,Sub-Saharan Africa,"Chocolate Tree, The","Chocolate Tree, The"
919.0,U.K.,2012.0,Peru,Peru,68.0,"3- B,S,C","sandy, sweet, cocoa",2.75,Europe,Northern Europe,Americas,Latin America and the Caribbean,"Chocolate Tree, The","Chocolate Tree, The"
919.0,U.K.,2012.0,Ecuador,Ecuador,82.0,"3- B,S,C","sandy, fruity, burnt",2.5,Europe,Northern Europe,Americas,Latin America and the Caribbean,"Chocolate Tree, The","Chocolate Tree, The"
1121.0,U.K.,2013.0,Peru,Peru,70.0,"2- B,S","intense orange, floral notes",3.75,Europe,Northern Europe,Americas,Latin America and the Caribbean,"Chocolate Tree, The","Chocolate Tree, The"
1582.0,U.K.,2015.0,Peru,Maranon,69.0,"3- B,S,C","floral, orange, cocoa",3.75,Europe,Northern Europe,Americas,Latin America and the Caribbean,"Chocolate Tree, The","Chocolate Tree, The"
1582.0,U.K.,2015.0,Venezuela,Carenero Superior,80.0,"2- B,S","mild bitter, fruit, spice",3.75,Europe,Northern Europe,Americas,Latin America and the Caribbean,"Chocolate Tree, The","Chocolate Tree, The"
2294.0,Belgium,2019.0,India,"Idukki Hills, GoGround, batch 0089",70.0,"3- B,S,C","nutty, honey, grassy",3.0,Europe,Western Europe,Asia,Southern Asia,Chocolatoa,Chocolatoa
1219.0,Canada,2014.0,Mexico,Xoconusco,70.0,"4- B,S,C,V","fatty, vanilla, mass market",2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolats Privilege,Chocolats Privilege
2080.0,U.S.A.,2018.0,Guatemala,"Monte Grande Plantation, Coatepeque",76.0,"2- B,S","high astringent, fruit, roasty",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolibrium,Chocolibrium
2080.0,U.S.A.,2018.0,Peru,Ucayali,70.0,"2- B,S","sandy, sweet",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Chocolibrium,Chocolibrium
2080.0,U.S.A.,2018.0,India,"Anamalai, Tamil Nadu",63.0,"3- B,S,C","sandy, tart, ham, sweet",2.5,Americas,Northern America,Asia,Southern Asia,Chocolibrium,Chocolibrium
1454.0,Japan,2015.0,Venezuela,Patanemo,77.0,,"coarse, vegetal, nibby",3.0,Asia,Eastern Asia,Americas,Latin America and the Caribbean,ChocoReko,ChocoReko
682.0,Canada,2011.0,Mexico,"Chiapas, Lacandon Jungle, Oaxacom Mtn",65.0,,"rustic,sweet, brownie, banana",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Chocosol,Chocosol
117.0,Spain,2007.0,Blend,Maragda,70.0,"4- B,S,C,L","sweet, marshmallow",3.0,Europe,Southern Europe,Blend,Blend,Chocovic,Chocovic
117.0,Spain,2007.0,Ecuador,"Bolivar, Guaranda",71.0,"4- B,S,C,L","earthy, floral, mild bitter",2.5,Europe,Southern Europe,Americas,Latin America and the Caribbean,Chocovic,Chocovic
117.0,Spain,2007.0,Grenada,Guyave,71.0,"4- B,S,C,L","sweet, cardboard",2.5,Europe,Southern Europe,Americas,Latin America and the Caribbean,Chocovic,Chocovic
209.0,Spain,2008.0,Venezuela,Ocumare,71.0,"4- B,S,C,L","long lasting, cocoa base",3.5,Europe,Southern Europe,Americas,Latin America and the Caribbean,Chocovic,Chocovic
439.0,Spain,2009.0,Blend,Kendari,60.0,"4- B,S,C,L","chewy, fudge-like, perfume",3.25,Europe,Southern Europe,Blend,Blend,Chocovic,Chocovic
439.0,Spain,2009.0,Blend,Tarakan,75.0,"4- B,S,C,L","oily, grassy, minty",3.25,Europe,Southern Europe,Blend,Blend,Chocovic,Chocovic
478.0,Spain,2010.0,Madagascar,Sambirano,71.0,"4- B,S,C,L","spicey, cocoa",3.5,Europe,Southern Europe,Africa,Sub-Saharan Africa,Chocovic,Chocovic
478.0,Spain,2010.0,Mexico,Xoconusco,71.0,"4- B,S,C,L","earthy, sweet",3.25,Europe,Southern Europe,Americas,Latin America and the Caribbean,Chocovic,Chocovic
1522.0,U.S.A.,2015.0,Mexico,Tabasco,65.0,"2- B,S","coarse, sweet, sour, leathery",2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Chocovivo,Chocovivo
1522.0,U.S.A.,2015.0,Mexico,Tabasco,75.0,"2- B,S","gritty, mild bitter, off notes",2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Chocovivo,Chocovivo
377.0,Canada,2009.0,Brazil,Brazilian,70.0,"4- B,S,C,V","oily, muted, fruity",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Choklat,Choklat
377.0,Canada,2009.0,Brazil,Brazilian,80.0,"4- B,S,C,V","roasty, tart, slight burnt",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Choklat,Choklat
377.0,Canada,2009.0,Venezuela,Ocumare,70.0,"4- B,S,C,V","slow, fatty, subdued, nutty",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Choklat,Choklat
377.0,Canada,2009.0,Mexico,"Porcelana, Tabasco",70.0,"4- B,S,C,V","fatty, cigarette butt, coffee",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Choklat,Choklat
377.0,Canada,2009.0,Venezuela,Ocumare,80.0,"4- B,S,C,V","dry, ashey, medicinal",2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Choklat,Choklat
1149.0,Martinique,2013.0,Martinique,Guadeloupe,42.0,"4- B,S,V,L","gritty, sweet, hot cocoa",2.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Girard,Chokolat Elot
1832.0,Canada,2016.0,Mexico,"Chiapas, Lacandon Jungle, Oaxacom Mtn",75.0,"3- B,S,C","grainy, sweet, whole bean",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Choocsol,Choocsol
2250.0,Peru,2018.0,Peru,"Ucayali, batch 1",70.0,"2- B,S","sweet, sandy, spicy",2.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Christophe Toury,Christophe Toury
2226.0,U.S.A.,2018.0,Peru,Ucayali,75.0,"3- B,S,C","bold, spice, hit of anise",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Christopher Elbow,Christopher Elbow
666.0,Canada,2011.0,Peru,"Maranon Canyon, Fortunato No. 4",68.0,,"oily, citrus, orange",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Felchlin,Christopher Morel
2310.0,U.S.A.,2019.0,Brazil,"Fazenda Camboa, 2017 harvest",70.0,"3- B,S,C","creamy, dried fruit, nutty",4.0,Americas,Northern America,Americas,Latin America and the Caribbean,Christopher Elbow,Christopher Elbow
2306.0,U.S.A.,2019.0,Dominican Republic,Oko Caribe,72.0,"3- B,S,C","smooth, spicy, cocoa",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Christopher Elbow,Christopher Elbow
2310.0,U.S.A.,2019.0,Ecuador,"Camino Verde, 2017 harvest",73.0,"3- B,S,C","rich cocoa, floral, acidic",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Christopher Elbow,Christopher Elbow
2310.0,U.S.A.,2019.0,Tanzania,"Kokoa Kamili, 2017 harvest",72.0,"3- B,S,C","basic cocoa,mild fruit, sweet",3.5,Americas,Northern America,Africa,Sub-Saharan Africa,Christopher Elbow,Christopher Elbow
2310.0,U.S.A.,2019.0,Costa Rica,"Hacienda Azul, 2017 harvest",70.0,"3- B,S,C","cocoa, woody, basic",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Christopher Elbow,Christopher Elbow
2314.0,U.S.A.,2019.0,Vietnam,"Vietnam, Marou 2017 harvest",72.0,"3- B,S,C","roasty, hammy, nutty",3.0,Americas,Northern America,Asia,South-eastern Asia,Christopher Elbow,Christopher Elbow
445.0,U.S.A.,2009.0,Venezuela,Choroni,61.0,"5- B,S,C,V,L","sweet, peanut butter",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Chuao Chocolatier,Chuao Chocolatier
486.0,U.S.A.,2010.0,Venezuela,Chuao,77.0,"3- B,S,C","red berry, bitter, roasty, sour",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Pralus,Chuao Chocolatier
227.0,Sao Tome,2008.0,Blend,"Terreiro Velho P., Sao Tome & Principe",75.0,"3- B,S,C","dry, sandy, cocoa, coffee",3.75,Africa,Sub-Saharan Africa,Blend,Blend,Claudio Corallo,Claudio Corallo
209.0,Sao Tome,2008.0,Blend,Terreiro Velho P. w/ sugar crystals,80.0,"3- B,S,C","bitter, light lime, sour",3.0,Africa,Sub-Saharan Africa,Blend,Blend,Claudio Corallo,Claudio Corallo
252.0,Sao Tome,2008.0,Blend,"Principe, Sao Tome & Principe",100.0,,"chalky, musty, very bitter",1.0,Africa,Sub-Saharan Africa,Blend,Blend,Claudio Corallo,Claudio Corallo
470.0,Sao Tome,2010.0,Blend,"Terreiro Velho P., Sao Tome & Principe",73.5,"2- B,S","short,mild cocoa, mild fruit",3.75,Africa,Sub-Saharan Africa,Blend,Blend,Claudio Corallo,Claudio Corallo
1486.0,U.S.A.,2015.0,Ecuador,"Camino Verde P., Balao, Guayas, 2014, batch 1",73.0,"2- B,S","creamy, floral, bourbon",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Cloudforest,Cloudforest
2474.0,Canada,2020.0,Peru,Ucayali,70.0,"3- B,S,C","balanced, anise, creamy",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Coco,Coco
2402.0,St. Lucia,2019.0,St. Lucia,St. Lucia,70.0,"4- B,S,C,V","raw, dirty, metallic, dry",2.25,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Cocoa Carib,Cocoa Carib
1646.0,U.S.A.,2015.0,Madagascar,Sambirano,75.0,"4- B,S,C,V","berry, spices, smoke",3.0,Americas,Northern America,Africa,Sub-Saharan Africa,Coleman & Davis,Coleman & Davis
292.0,Argentina,2008.0,Venezuela,Ocumare,70.0,,"minty, nutty, nutmeg",3.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Salgado,Compania de Chocolate
292.0,Argentina,2008.0,Bolivia,Moxos,72.0,,"dry, coffee, sour",3.25,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Salgado,Compania de Chocolate
292.0,Argentina,2008.0,Venezuela,Carenero Superior,80.0,,"very sour, mildly bitter",2.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Salgado,Compania de Chocolate
296.0,Argentina,2008.0,Ecuador,Esmeraldas,88.0,,"slightly burnt, mildly bitter",2.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Salgado,Compania de Chocolate
579.0,Argentina,2010.0,Venezuela,Sur del Lago,70.0,,cocoa then roasted nut,3.25,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Salgado,Compania de Chocolate
1630.0,U.S.A.,2015.0,Ecuador,Camino Verde,76.0,"2- B,S","bold, roasty, sticky, brownie",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Condor,Condor
1916.0,U.S.A.,2016.0,Vietnam,"Tien Giang, 2015, batch 10-2-16",78.0,"2- B,S","woody, nutty, off sour note",2.75,Americas,Northern America,Asia,South-eastern Asia,Confluence,Confluence
196.0,Germany,2007.0,Madagascar,"Sambirano, Menava P.",72.0,"3- B,S,C","creamy, woodsy, cocoa",3.0,Europe,Western Europe,Africa,Sub-Saharan Africa,Coppeneur,Coppeneur
220.0,Germany,2008.0,Mexico,"Porcelana, Tabasco,  Mexico",72.0,"3- B,S,C","intense, tangy, berry, sour",3.0,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
220.0,Germany,2008.0,Venezuela,"Porcelana, Venezuela",72.0,"3- B,S,C","lemon, sour, slight metallic",3.0,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
451.0,Germany,2009.0,Venezuela,Chuao 70hr,70.0,"3- B,S,C","dark berry, winey",3.75,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
451.0,Germany,2009.0,Venezuela,Chuao 100hr,70.0,"3- B,S,C","slow, less intense berry, nutty",3.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
445.0,Germany,2009.0,Peru,"Porcelana, Apotequil",62.0,"3- B,S,C","woodsy, nutty",3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
341.0,Germany,2009.0,Peru,"Porcelana, Apotequil",72.0,"3- B,S,C","creamy, buttery, non descript",3.0,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
470.0,Germany,2010.0,Grenada,Grenada,72.0,"3- B,S,C",coffee and cocoa,3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
558.0,Germany,2010.0,Jamaica,Jamaica,72.0,"3- B,S,C","oily, fatty, rum",3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
558.0,Germany,2010.0,Venezuela,Ocumare 61,72.0,"3- B,S,C","oily, coffee",3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
478.0,Germany,2010.0,Venezuela,Chuao,70.0,"3- B,S,C","fruity, bland",3.0,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
558.0,Germany,2010.0,Trinidad and Tobago,Trinidad,72.0,"3- B,S,C","dry, spicy, woody",3.0,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
558.0,Germany,2010.0,Ecuador,"Los Rios, H. Iara",72.0,"3- B,S,C","harsh aroma, melon floral,off",2.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
821.0,Germany,2012.0,Blend,"Uba Budo, Sao Tome & Principe",72.0,"3- B,S,C","creamy, nutty, cocoa",3.75,Europe,Western Europe,Blend,Blend,Coppeneur,Coppeneur
813.0,Germany,2012.0,Ghana,Ghana Puristique,85.0,"3- B,S,C","silky, minty",3.5,Europe,Western Europe,Africa,Sub-Saharan Africa,Coppeneur,Coppeneur
959.0,Germany,2012.0,Madagascar,Madagascar,70.0,"3- B,S,C","sandy, sweet, tart red berry",3.5,Europe,Western Europe,Africa,Sub-Saharan Africa,Coppeneur,Coppeneur
817.0,Germany,2012.0,Ecuador,Ecuador Puristique,100.0,,high intensity bitter,1.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
1169.0,Germany,2013.0,Ecuador,"Ecuador, Puristique",65.0,"4- B,S,C,L","oily, fragrant, spciy",3.25,Europe,Western Europe,Americas,Latin America and the Caribbean,Coppeneur,Coppeneur
1984.0,Germany,2017.0,Ghana,Ghana,75.0,"3- B,S,C","oily, rich cocoa, nutty",3.75,Europe,Western Europe,Africa,Sub-Saharan Africa,Coppeneur,Coppeneur
48.0,Belgium,2006.0,Blend,Sensations Intense,70.0,,this is not chocolate,1.0,Europe,Western Europe,Blend,Blend,Kraft,Cote d' Or
975.0,Australia,2012.0,Papua New Guinea,"Djual Island, batch 1712",75.0,"3- B,S,C","sandy, sweet, nutty",3.5,Oceania,Australia and New Zealand,Oceania,Melanesia,Cravve,Cravve
971.0,Australia,2012.0,Tanzania,"Tanzania, batch a1",75.0,"3- B,S,C","spice, roasty, off fatty note",3.25,Oceania,Australia and New Zealand,Africa,Sub-Saharan Africa,Cravve,Cravve
975.0,Australia,2012.0,Brazil,"Bahia, batch a1213",65.0,"3- B,S,C","sandy, sweet, smokey",3.25,Oceania,Australia and New Zealand,Americas,Latin America and the Caribbean,Cravve,Cravve
975.0,Australia,2012.0,Fiji,"Namau Village, N. Taileva P., batch a2812",67.0,"3- B,S,C","acidic, sweet, cucumber",3.25,Oceania,Australia and New Zealand,Oceania,Melanesia,Cravve,Cravve
975.0,Australia,2012.0,Vanuatu,"Vanuatu, batch 2410",64.0,"3- B,S,C","sandy, sweet, spicy, roasty",3.25,Oceania,Australia and New Zealand,Oceania,Melanesia,Cravve,Cravve
1335.0,Australia,2014.0,Vanuatu,"Vanuatu, batch 2410",83.0,"3- B,S,C",banana nut,2.75,Oceania,Australia and New Zealand,Oceania,Melanesia,Cravve,Cravve
1283.0,Australia,2014.0,Papua New Guinea,"New Ireland, batch 1702",70.0,"3- B,S,C","true to sugar, molasses",2.5,Oceania,Australia and New Zealand,Oceania,Melanesia,Cravve,Cravve
1736.0,U.S.A.,2016.0,Ecuador,"""heirloom"", Arriba Nacional",73.0,"3- B,S,C","creamy, complex, fruity",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Creo,Creo
1736.0,U.S.A.,2016.0,Ecuador,"""heirloom"", Arriba Nacional",85.0,"3- B,S,C","oily, mild bitter, nutty, fruit",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Creo,Creo
2466.0,U.S.A.,2020.0,Honduras,"Wampusirpi, batch 41",70.0,"2- B,S","banana, spicy, grassy",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Crow and Moss,Crow and Moss
2466.0,U.S.A.,2020.0,Dominican Republic,"Zorzal, batch 40",70.0,"2- B,S","deep cherry, earthy, rubbery",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Crow and Moss,Crow and Moss
2466.0,U.S.A.,2020.0,Colombia,"Aruaca, batch 39",70.0,"2- B,S","nutty, citrus",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Crow and Moss,Crow and Moss
785.0,Australia,2011.0,Australia,"Daintree Estates, N. Queensland",70.0,"5- B,S,C,V,L","vanilla, banana, citrus",3.25,Oceania,Australia and New Zealand,Oceania,Australia and New Zealand,Daintree,Daintree
1654.0,Australia,2015.0,Australia,Goodman Estate,70.0,"3- B,S,C","sandy, candy like vanilla, off",2.75,Oceania,Australia and New Zealand,Oceania,Australia and New Zealand,Daintree,Daintree
1928.0,U.S.A.,2017.0,Dominican Republic,"Dominican Republic, batch 7",72.0,"2- B,S","hammy, sour, astringent",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Dalloway,Dalloway
1610.0,U.K.,2015.0,Ecuador,Los Rios,70.0,"3- B,S,C","floral, banana",3.5,Europe,Northern Europe,Americas,Latin America and the Caribbean,Damson,Damson
1610.0,U.K.,2015.0,Trinidad and Tobago,Robson Estate,70.0,"3- B,S,C","floral, sour, synthetic, off",3.0,Europe,Northern Europe,Americas,Latin America and the Caribbean,Damson,Damson
1666.0,U.K.,2015.0,Nicaragua,O'Payo,70.0,"3- B,S,C","oily, grapes, pungent",2.75,Europe,Northern Europe,Americas,Latin America and the Caribbean,Damson,Damson
1666.0,U.K.,2015.0,Grenada,Crayfish Bay aka Non Pariel Estate,70.0,"3- B,S,C","off, pungent, intense",2.25,Europe,Northern Europe,Americas,Latin America and the Caribbean,Damson,Damson
2064.0,U.K.,2018.0,Blend,"Angel Bar, Nicaragua, Madagascar",65.0,"4- B,S,C,L","sweet, vinegar",2.5,Europe,Northern Europe,Blend,Blend,Damson,Damson
915.0,U.S.A.,2012.0,Dominican Republic,"Elvesia, 2011",70.0,"2- B,S","spicy, fudgey",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
805.0,U.S.A.,2012.0,Colombia,Colombian,70.0,"2- B,S","grassy, green, candy spice",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
805.0,U.S.A.,2012.0,Costa Rica,Upala,70.0,"2- B,S","dried fruit, tannic",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
1085.0,U.S.A.,2013.0,Venezuela,"Mantuano, 2012, batch 1",70.0,"2- B,S","roasty, oreo shell, coffee",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
1153.0,U.S.A.,2013.0,Papua New Guinea,"Papua New Guinea, batch 1",70.0,"2- B,S","mild smoke, raspberry,cocoa",3.5,Americas,Northern America,Oceania,Melanesia,Dandelion,Dandelion
1026.0,U.S.A.,2013.0,Venezuela,"Patanemo, batch 3",70.0,"2- B,S","licorice, sour, rich cocoa",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
1026.0,U.S.A.,2013.0,Venezuela,"Cumboto, farmer Jose Lugo, batch 1",70.0,"2- B,S","acidic, sour, cocoa",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
1387.0,U.S.A.,2014.0,Dominican Republic,"San Francisco de Macoris, Cibao region",70.0,"2- B,S","cherry, rich choco",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
1219.0,U.S.A.,2014.0,Belize,Maya Mountain,70.0,"2- B,S","heavy roast, blackberry",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
1295.0,U.S.A.,2014.0,Ecuador,"Camino Verde P., Balao, Guayas, 2013",70.0,"2- B,S","gummy, nutty, bourbon",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
1303.0,U.S.A.,2014.0,Liberia,Buto,70.0,"2- B,S","roasty, spicy, nutty",2.75,Americas,Northern America,Africa,Sub-Saharan Africa,Dandelion,Dandelion
1446.0,U.S.A.,2015.0,Belize,"Maya Mtn., Break Bar- Snark",70.0,"2- B,S","intense, roasty, coffee, raisin",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
1816.0,U.S.A.,2016.0,Dominican Republic,"Zorzal Reserva, 2015 H., Kerchner",70.0,"2- B,S","cherry, rich choco",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
2024.0,U.S.A.,2017.0,Costa Rica,"Hacienda Azul, 2016 Harvest",70.0,"2- B,S","cocoa, sour, toffee, earthy",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
2178.0,U.S.A.,2018.0,India,"Anamalai, 2017 harvest",70.0,"2- B,S","ripe orange, citrus",3.5,Americas,Northern America,Asia,Southern Asia,Dandelion,Dandelion
2178.0,U.S.A.,2018.0,Honduras,"WAPU, La Mosquitia, 2017 harvest",70.0,"2- B,S","nutty, moderate acidity",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Dandelion,Dandelion
2178.0,U.S.A.,2018.0,Sierra Leone,"Gola Rainforest, 2017 harvest",70.0,"2- B,S","vegetal, high astringency",3.0,Americas,Northern America,Africa,Sub-Saharan Africa,Dandelion,Dandelion
2386.0,U.S.A.,2019.0,Vietnam,"Ben Tre, 2018 Harvest",70.0,"2- B,S","green apple, sticky",3.5,Americas,Northern America,Asia,South-eastern Asia,Dandelion,Dandelion
654.0,U.S.A.,2011.0,Dominican Republic,Dominican Republic,70.0,"2- B,S","grassy, fruity, brownie",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,aka Brower Ave,Dandelion
654.0,U.S.A.,2011.0,Madagascar,Madagascar,70.0,"2- B,S","brownie, red berry",3.25,Americas,Northern America,Africa,Sub-Saharan Africa,aka Brower Ave,Dandelion
654.0,U.S.A.,2011.0,Tanzania,Tanzania,70.0,"2- B,S",cocoa flavor dominates,3.25,Americas,Northern America,Africa,Sub-Saharan Africa,aka Brower Ave,Dandelion
423.0,Guatemala,2009.0,Guatemala,Las Acacias E.,60.0,"4- B,S,C,V","wood, holiday spice, soap",3.25,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Danta,Danta
423.0,Guatemala,2009.0,Guatemala,Las Acacias E.,75.0,"4- B,S,C,V","dark woody, plum, astringent",3.0,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Danta,Danta
661.0,Guatemala,2011.0,Guatemala,Los Ujuxtes,60.0,"4- B,S,C,V","oily, dried fruit, vanilla",3.5,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Danta,Danta
987.0,Guatemala,2012.0,Guatemala,Las Acacias E.,70.0,"2- B,S","sweet spice, floral",4.0,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Danta,Danta
987.0,Guatemala,2012.0,Guatemala,Los Ujuxtes,70.0,"2- B,S",spicy,3.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Danta,Danta
987.0,Guatemala,2012.0,Madagascar,Sambirano,70.0,"2- B,S","oily, toffee, hints of fruit",3.75,Americas,Latin America and the Caribbean,Africa,Sub-Saharan Africa,Danta,Danta
991.0,Guatemala,2012.0,Guatemala,"Oscuro, Finca Chimelb",70.0,"2- B,S","nutty, ashey, spicy pepper",3.25,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Danta,Danta
987.0,Guatemala,2012.0,Venezuela,Chuao,75.0,"4- B,S,C,V","gummy, fatty, caramel",3.0,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Danta,Danta
